DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 18:50:00,2.0532431483e+06,2.0532431483e+06,1.0430674548e+06,1.0430674548e+06
2020-03-15 18:55:00,1.9469269653e+06,1.9469269653e+06,1.1361344382e+06,1.1361344382e+06
2020-03-15 19:00:00,1.6846067547e+06,1.6846067547e+06,1.1519356161e+06,1.1519356161e+06
2020-03-15 19:05:00,1.6226173444e+06,1.6226173444e+06,1.0850240260e+06,1.0850240260e+06
2020-03-15 19:10:00,1.5263151669e+06,1.5263151669e+06,1.1051832570e+06,1.1051832570e+06
2020-03-15 19:15:00,1.5230636987e+06,1.5230636987e+06,1.0176314942e+06,1.0176314942e+06
2020-03-15 19:20:00,2.2848339791e+06,2.2848339791e+06,1.0229579742e+06,1.0229579742e+06
2020-03-15 19:25:00,2.3096362614e+06,2.3096362614e+06,1.0494518037e+06,1.0494518037e+06
2020-03-15 19:30:00,4.7868480064e+06,4.7868480064e+06,9.1451516879e+05,9.1451516879e+05
2020-03-15 19:35:00,1.9572892498e+06,1.9572892498e+06,9.5691792444e+05,9.5691792444e+05
2020-03-15 19:40:00,2.5593929011e+06,2.5593929011e+06,9.3119962438e+05,9.3119962438e+05
