DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-17 11:55:00,5.1777648747e+05,5.1777648747e+05,6.4287152769e+05,6.4287152769e+05
2020-03-17 12:00:00,5.2516316089e+05,5.2516316089e+05,6.2222919818e+05,6.2222919818e+05
2020-03-17 12:05:00,5.3759319951e+05,5.3759319951e+05,6.4685904218e+05,6.4685904218e+05
2020-03-17 12:10:00,5.1270660831e+05,5.1270660831e+05,7.2051828689e+05,7.2051828689e+05
2020-03-17 12:15:00,5.1120860711e+05,5.1120860711e+05,6.1170191111e+05,6.1170191111e+05
2020-03-17 12:20:00,5.0835078786e+05,5.0835078786e+05,5.6308054379e+05,5.6308054379e+05
2020-03-17 12:25:00,5.0440183574e+05,5.0440183574e+05,5.5469517999e+05,5.5469517999e+05
2020-03-17 12:30:00,5.1960789285e+05,5.1960789285e+05,5.6875228368e+05,5.6875228368e+05
2020-03-17 12:35:00,5.2554640427e+05,5.2554640427e+05,6.2928051378e+05,6.2928051378e+05
2020-03-17 12:40:00,5.2002513173e+05,5.2002513173e+05,6.4238482702e+05,6.4238482702e+05
2020-03-17 12:45:00,5.2655246024e+05,5.2655246024e+05,5.6567959810e+05,5.6567959810e+05
2020-03-17 12:50:00,5.1342625040e+05,5.1342625040e+05,5.5759405831e+05,5.5759405831e+05
2020-03-17 12:55:00,5.1516622945e+05,5.1516622945e+05,5.6132845044e+05,5.6132845044e+05
2020-03-17 13:00:00,5.2388349920e+05,5.2388349920e+05,5.7110323573e+05,5.7110323573e+05
2020-03-17 13:05:00,5.3340123467e+05,5.3340123467e+05,5.5882095058e+05,5.5882095058e+05
2020-03-17 13:10:00,5.2063917084e+05,5.2063917084e+05,7.3083019271e+05,7.3083019271e+05
2020-03-17 13:15:00,5.1216832676e+05,5.1216832676e+05,5.5865902355e+05,5.5865902355e+05
2020-03-17 13:20:00,5.2334897573e+05,5.2334897573e+05,5.6842153201e+05,5.6842153201e+05
2020-03-17 13:25:00,5.1242173008e+05,5.1242173008e+05,5.5922444937e+05,5.5922444937e+05
2020-03-17 13:30:00,5.2297114343e+05,5.2297114343e+05,5.7052141712e+05,5.7052141712e+05
2020-03-17 13:35:00,5.2014526642e+05,5.2014526642e+05,5.9721907504e+05,5.9721907504e+05
2020-03-17 13:40:00,5.2537083279e+05,5.2537083279e+05,6.5396453794e+05,6.5396453794e+05
2020-03-17 13:45:00,5.2443720817e+05,5.2443720817e+05,8.1300755200e+05,8.1300755200e+05
2020-03-17 13:50:00,5.1382160124e+05,5.1382160124e+05,5.8215681849e+05,5.8215681849e+05
2020-03-17 13:55:00,5.2044427071e+05,5.2044427071e+05,5.6624296293e+05,5.6624296293e+05
2020-03-17 14:00:00,5.1525384554e+05,5.1525384554e+05,5.6172056036e+05,5.6172056036e+05
2020-03-17 14:05:00,5.2873675575e+05,5.2873675575e+05,5.5123060897e+05,5.5123060897e+05
2020-03-17 14:10:00,5.2143002151e+05,5.2143002151e+05,5.6591296356e+05,5.6591296356e+05
2020-03-17 14:15:00,5.2723216807e+05,5.2723216807e+05,6.5034101005e+05,6.5034101005e+05
2020-03-17 14:20:00,5.1509376271e+05,5.1509376271e+05,6.4255399231e+05,6.4255399231e+05
2020-03-17 14:25:00,5.1916520931e+05,5.1916520931e+05,5.6171210341e+05,5.6171210341e+05
2020-03-17 14:30:00,5.2036634098e+05,5.2036634098e+05,5.6772327236e+05,5.6772327236e+05
2020-03-17 14:35:00,5.1913559289e+05,5.1913559289e+05,5.6985020711e+05,5.6985020711e+05
2020-03-17 14:40:00,5.2192054891e+05,5.2192054891e+05,5.6787667456e+05,5.6787667456e+05
2020-03-17 14:45:00,5.1675129369e+05,5.1675129369e+05,6.4018299670e+05,6.4018299670e+05
2020-03-17 14:50:00,5.1184760217e+05,5.1184760217e+05,5.5507224866e+05,5.5507224866e+05
2020-03-17 14:55:00,5.1660046243e+05,5.1660046243e+05,5.6307866773e+05,5.6307866773e+05
2020-03-17 15:00:00,5.0968336131e+05,5.0968336131e+05,6.4142946684e+05,6.4142946684e+05
2020-03-17 15:05:00,5.5039534286e+05,5.5039534286e+05,5.5552871779e+05,5.5552871779e+05
2020-03-17 15:10:00,5.1712913370e+05,5.1712913370e+05,5.6596655697e+05,5.6596655697e+05
2020-03-17 15:15:00,5.1724110027e+05,5.1724110027e+05,5.6092405867e+05,5.6092405867e+05
2020-03-17 15:20:00,5.1575552008e+05,5.1575552008e+05,6.3605695732e+05,6.3605695732e+05
2020-03-17 15:25:00,5.1726772999e+05,5.1726772999e+05,5.6466568152e+05,5.6466568152e+05
2020-03-17 15:30:00,5.2944512629e+05,5.2944512629e+05,5.7530831642e+05,5.7530831642e+05
2020-03-17 15:35:00,5.0485291325e+05,5.0485291325e+05,5.4439221824e+05,5.4439221824e+05
2020-03-17 15:40:00,5.2014198222e+05,5.2014198222e+05,6.4925951502e+05,6.4925951502e+05
2020-03-17 15:45:00,5.4029969519e+05,5.4029969519e+05,5.8156373149e+05,5.8156373149e+05
2020-03-17 15:50:00,5.1573933726e+05,5.1573933726e+05,7.2050894264e+05,7.2050894264e+05
2020-03-17 15:55:00,3.9973999093e+05,3.9973999093e+05,5.1464353867e+05,5.1464353867e+05
2020-03-17 16:00:00,4.8588447040e+05,4.8588447040e+05,6.0779985227e+05,6.0779985227e+05
2020-03-17 16:05:00,5.3178444587e+05,5.3178444587e+05,5.8967617253e+05,5.8967617253e+05
2020-03-17 16:10:00,5.0517065019e+05,5.0517065019e+05,5.6430227440e+05,5.6430227440e+05
2020-03-17 16:15:00,5.1059424342e+05,5.1059424342e+05,6.1779215096e+05,6.1779215096e+05
2020-03-17 16:20:00,5.6594589198e+05,5.6594589198e+05,5.5481978130e+05,5.5481978130e+05
2020-03-17 16:25:00,5.1405106053e+05,5.1405106053e+05,6.3170331013e+05,6.3170331013e+05
2020-03-17 16:30:00,5.1967271707e+05,5.1967271707e+05,5.7111431973e+05,5.7111431973e+05
2020-03-17 16:35:00,4.9101650572e+05,4.9101650572e+05,5.3909702480e+05,5.3909702480e+05
2020-03-17 16:40:00,4.0844216334e+05,4.0844216334e+05,4.4830174249e+05,4.4830174249e+05
2020-03-17 16:45:00,5.5741114187e+05,5.5741114187e+05,6.0768869351e+05,6.0768869351e+05
2020-03-17 16:50:00,5.1814792640e+05,5.1814792640e+05,6.4317485778e+05,6.4317485778e+05
2020-03-17 16:55:00,5.1741440491e+05,5.1741440491e+05,7.4249940744e+05,7.4249940744e+05
2020-03-17 17:00:00,5.3174800085e+05,5.3174800085e+05,6.8422949669e+05,6.8422949669e+05
2020-03-17 17:05:00,5.1970939460e+05,5.1970939460e+05,6.2633286600e+05,6.2633286600e+05
2020-03-17 17:10:00,5.2097920805e+05,5.2097920805e+05,6.6952270379e+05,6.6952270379e+05
2020-03-17 17:15:00,5.7320878767e+05,5.7320878767e+05,6.7238543551e+05,6.7238543551e+05
2020-03-17 17:20:00,5.0504694238e+05,5.0504694238e+05,6.5225150066e+05,6.5225150066e+05
2020-03-17 17:25:00,5.2859822756e+05,5.2859822756e+05,7.5546896908e+05,7.5546896908e+05
2020-03-17 17:30:00,5.2725851255e+05,5.2725851255e+05,7.5324550242e+05,7.5324550242e+05
2020-03-17 17:35:00,5.1324766791e+05,5.1324766791e+05,6.5706551609e+05,6.5706551609e+05
2020-03-17 17:40:00,5.2620112676e+05,5.2620112676e+05,6.7633871840e+05,6.7633871840e+05
2020-03-17 17:45:00,5.1857904924e+05,5.1857904924e+05,7.2685895520e+05,7.2685895520e+05
2020-03-17 17:50:00,5.0460005813e+05,5.0460005813e+05,7.2537185013e+05,7.2537185013e+05
2020-03-17 17:55:00,5.2466125206e+05,5.2466125206e+05,7.5524870431e+05,7.5524870431e+05
2020-03-17 18:00:00,5.2693076198e+05,5.2693076198e+05,8.0057192262e+05,8.0057192262e+05
2020-03-17 18:05:00,5.3763838000e+05,5.3763838000e+05,7.4632582427e+05,7.4632582427e+05
2020-03-17 18:10:00,5.1575498800e+05,5.1575498800e+05,6.6378462160e+05,6.6378462160e+05
2020-03-17 18:15:00,5.2190808373e+05,5.2190808373e+05,6.6495791653e+05,6.6495791653e+05
2020-03-17 18:20:00,5.0627247920e+05,5.0627247920e+05,6.5097549413e+05,6.5097549413e+05
2020-03-17 18:25:00,5.2034052408e+05,5.2034052408e+05,6.6996883311e+05,6.6996883311e+05
2020-03-17 18:30:00,5.1544096738e+05,5.1544096738e+05,7.3995158760e+05,7.3995158760e+05
2020-03-17 18:35:00,5.2257154329e+05,5.2257154329e+05,6.6368327804e+05,6.6368327804e+05
2020-03-17 18:40:00,5.3423023644e+05,5.3423023644e+05,7.5743001084e+05,7.5743001084e+05
2020-03-17 18:45:00,5.2319660089e+05,5.2319660089e+05,6.7002673831e+05,6.7002673831e+05
2020-03-17 18:50:00,5.1133076267e+05,5.1133076267e+05,6.6060460373e+05,6.6060460373e+05
2020-03-17 18:55:00,5.1912502507e+05,5.1912502507e+05,6.7035853956e+05,6.7035853956e+05
2020-03-17 19:00:00,5.2214901938e+05,5.2214901938e+05,6.7406736391e+05,6.7406736391e+05
2020-03-17 19:05:00,5.2649893973e+05,5.2649893973e+05,7.0295002835e+05,7.0295002835e+05
2020-03-17 19:10:00,5.2062767920e+05,5.2062767920e+05,6.6831648348e+05,6.6831648348e+05
2020-03-17 19:15:00,5.2463080187e+05,5.2463080187e+05,7.4129651864e+05,7.4129651864e+05
2020-03-17 19:20:00,5.1256572906e+05,5.1256572906e+05,5.6270257505e+05,5.6270257505e+05
2020-03-17 19:25:00,5.1531659385e+05,5.1531659385e+05,6.0200321601e+05,6.0200321601e+05
2020-03-17 19:30:00,5.2452793742e+05,5.2452793742e+05,6.5420021250e+05,6.5420021250e+05
2020-03-17 19:35:00,5.1512995600e+05,5.1512995600e+05,7.2082465527e+05,7.2082465527e+05
2020-03-17 19:40:00,5.1451563543e+05,5.1451563543e+05,5.7938375891e+05,5.7938375891e+05
2020-03-17 19:45:00,5.2160762127e+05,5.2160762127e+05,5.7112746714e+05,5.7112746714e+05
2020-03-17 19:50:00,5.2446093976e+05,5.2446093976e+05,6.6111338874e+05,6.6111338874e+05
2020-03-17 19:55:00,5.0883941280e+05,5.0883941280e+05,5.5694974400e+05,5.5694974400e+05
2020-03-17 20:00:00,5.0911983733e+05,5.0911983733e+05,5.5388823040e+05,5.5388823040e+05
2020-03-17 20:05:00,5.5902559947e+05,5.5902559947e+05,6.5366483147e+05,6.5366483147e+05
2020-03-17 20:10:00,5.2524652168e+05,5.2524652168e+05,5.5936389428e+05,5.5936389428e+05
2020-03-17 20:15:00,5.1086445892e+05,5.1086445892e+05,5.4816905733e+05,5.4816905733e+05
2020-03-17 20:20:00,5.0920621978e+05,5.0920621978e+05,5.4966348867e+05,5.4966348867e+05
2020-03-17 20:25:00,5.2244655426e+05,5.2244655426e+05,5.6636778398e+05,5.6636778398e+05
