DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 18:40:00,4.8727684637e+09,4.8727684637e+09,2.2229225280e+09,2.2229225280e+09
2020-03-15 18:45:00,5.0402075485e+09,5.0402075485e+09,2.3522900886e+09,2.3522900886e+09
2020-03-15 18:50:00,4.6363003155e+09,4.6363003155e+09,2.7724519557e+09,2.7724519557e+09
2020-03-15 18:55:00,2.5288808809e+09,2.5288808809e+09,2.7366198216e+09,2.7366198216e+09
2020-03-15 19:00:00,1.5749746765e+09,1.5749746765e+09,2.3801656432e+09,2.3801656432e+09
2020-03-15 19:05:00,1.9328195674e+09,1.9328195674e+09,2.2300544826e+09,2.2300544826e+09
2020-03-15 19:10:00,1.1392887152e+09,1.1392887152e+09,2.4925619435e+09,2.4925619435e+09
2020-03-15 19:15:00,1.4021126764e+09,1.4021126764e+09,2.3158810308e+09,2.3158810308e+09
2020-03-15 19:20:00,1.6864946830e+09,1.6864946830e+09,2.4130156042e+09,2.4130156042e+09
2020-03-15 19:25:00,1.3452889110e+09,1.3452889110e+09,2.5446930381e+09,2.5446930381e+09
2020-03-15 19:30:00,1.0998685620e+09,1.0998685620e+09,2.3177081347e+09,2.3177081347e+09
2020-03-15 19:35:00,1.1915017630e+09,1.1915017630e+09,2.3544736369e+09,2.3544736369e+09
2020-03-15 19:40:00,4.2974222488e+08,4.2974222488e+08,2.3450658487e+09,2.3450658487e+09
