DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-28 23:35:00,3.9783217649e+08,3.9783217649e+08,3.7301750618e+07,3.7301750618e+07
2020-03-28 23:40:00,4.5386636911e+08,4.5386636911e+08,4.5074597773e+07,4.5074597773e+07
2020-03-28 23:45:00,3.8739613346e+08,3.8739613346e+08,3.4841608572e+07,3.4841608572e+07
2020-03-28 23:50:00,4.2989206733e+08,4.2989206733e+08,2.0353420436e+07,2.0353420436e+07
2020-03-28 23:55:00,8.4553414737e+08,8.4553414737e+08,1.6466814024e+07,1.6466814024e+07
2020-03-29 00:00:00,4.3890121387e+08,4.3890121387e+08,2.7003162818e+07,2.7003162818e+07
2020-03-29 00:05:00,3.7236089345e+08,3.7236089345e+08,3.5773944245e+07,3.5773944245e+07
2020-03-29 00:10:00,2.7835317836e+08,2.7835317836e+08,2.8842167231e+07,2.8842167231e+07
2020-03-29 00:15:00,3.0705016687e+08,3.0705016687e+08,2.6315838662e+07,2.6315838662e+07
2020-03-29 00:20:00,2.7078636277e+08,2.7078636277e+08,2.4986395946e+07,2.4986395946e+07
2020-03-29 00:25:00,2.7291160784e+08,2.7291160784e+08,1.1355032925e+08,1.1355032925e+08
2020-03-29 00:30:00,3.6231042592e+08,3.6231042592e+08,2.9203876490e+07,2.9203876490e+07
2020-03-29 00:35:00,2.6374020897e+08,2.6374020897e+08,1.9826747597e+07,1.9826747597e+07
2020-03-29 00:40:00,2.6809595623e+08,2.6809595623e+08,2.8489815256e+07,2.8489815256e+07
2020-03-29 00:45:00,3.9198047988e+08,3.9198047988e+08,1.2143234242e+08,1.2143234242e+08
2020-03-29 00:50:00,2.5612143917e+08,2.5612143917e+08,3.1030477922e+07,3.1030477922e+07
2020-03-29 00:55:00,2.3243380464e+08,2.3243380464e+08,3.1058293635e+07,3.1058293635e+07
2020-03-29 02:00:00,2.3816678621e+08,2.3816678621e+08,3.4840682765e+07,3.4840682765e+07
